Estádio_Municipal_Coaracy_da_Mata_Fonseca	
Eva_Perón	Eva_Perón | description | Argentinian actress and politician (1919-1952) && Eva_Perón | gender | female
Bella_Center	Bella_Center | description | Danish conference venue
United_States_Army	United_States_Army | description | branch of the United States Armed Forces
Rosaceae	Rosaceae | description | family of plants
+8	
A._Storrs	
Conservative_Party_of_Canada	Conservative_Party_of_Canada | description | political party in Canada founded in 2003
Oyster_sauce	Oyster_sauce | description | condiment
Polish_language	Polish_language | description | West Slavic language spoken in Poland
Texas	Texas | description | state of the United States of America
National_Assembly_(Azerbaijan)	National_Assembly_(Azerbaijan) | description | Unicameral legislature of Azerbaijan
167.94	
New_Mexico_House_of_Representatives	New_Mexico_House_of_Representatives | description | lower house of New Mexico's state legislature
Rolls-Royce_Holdings	Rolls-Royce_Holdings | description | British multinational public holding company
Ganges	Ganges | description | major river in India
Serie_A	Serie_A | description | a professional league competition for men's football clubs located at the top of the Italian football league system
London	London | description | capital and largest city of the United Kingdom
Drake Stevens	
RoPS	
Spacewatch	Spacewatch | description | University of Arizona project for study of minor planets and comets
Kelvin Mao	
Adams_County,_Pennsylvania	Adams_County,_Pennsylvania | description | county in Pennsylvania, United States
Alba_Iulia	Alba_Iulia | description | city in Romania
Aston_Martin_V8	Aston_Martin_V8 | description | type of grand tourer manufactured by Aston Martin
RCA_Records	RCA_Records | description | American record company
Xiangyang	Xiangyang | description | prefecture-level city in Hubei, China
New York City, New York, U.S.	
1_Decembrie_1918_University	
3453.0	
Hugh Hazzard	
Varese_Calcio_S.S.D.	
Recep_Tayyip_Erdoğan	Recep_Tayyip_Erdoğan | description | President of Turkey since 2014 && Recep_Tayyip_Erdoğan | gender | male
APN	APN | description | Wikimedia disambiguation page
Frederick_County,_Maryland	Frederick_County,_Maryland | description | county in Maryland, United States
1928 PC	
1089_Tama	1089_Tama | description | asteroid
A.S.D._Licata_1931	
Death_on_a_Factory_Farm	Death_on_a_Factory_Farm | description | 2009 television film
Atlantic_County,_New_Jersey	Atlantic_County,_New_Jersey | description | county in New Jersey, United States
Jack_Kirby	Jack_Kirby | description | American comic book artist, writer and editor && Jack_Kirby | gender | male
597.0	
Diane_Duane	Diane_Duane | description | American author && Diane_Duane | gender | female
Atlas_II	Atlas_II | description | American expendable launch system
Blue, White and Orange	
Neptun Werft, Warnemünde,	
Bandeja_paisa	Bandeja_paisa | description | typical meal popular in Colombian cuisine
Dale_Tallon	Dale_Tallon | description | ice hockey player, NHL executive && Dale_Tallon | gender | male
E-book	
Member of the Texas State Senate from District 4 (Port Arthur)	
30.0 g	
Nicholas_Brodszky	Nicholas_Brodszky | description | American composer (1905-1958) && Nicholas_Brodszky | gender | male
Michael_Tinkham	Michael_Tinkham | description | United States physicist && Michael_Tinkham | gender | male
A_EPSTH_2nd_GROUP	
Vietnamese_language	Vietnamese_language | description | Austroasiatic language that originated in Vietnam; national and official language of Vietnam
Aleksander_Barkov,_Jr.	
Egg_Harbor_Township,_New_Jersey	Egg_Harbor_Township,_New_Jersey | description | township in Atlantic County, New Jersey, United States
Nie_Haisheng	Nie_Haisheng | description | Chinese astronaut && Nie_Haisheng | gender | male
Rice	Rice | description | cereal grain and seed of different Oryza and Zizania species
ORAA	
Virtuti_Militari	Virtuti_Militari | description | award, Poland's highest military decoration for heroism and courage in the face of the enemy at war
Massimo_Drago	Massimo_Drago | description | Italian footballer and manager && Massimo_Drago | gender | male
Great_Britain	Great_Britain | description | island in the North Atlantic Ocean off the northwest coast of continental Europe
Aermacchi_MB-339	Aermacchi_MB-339 | description | Military jet
A.C._Chievo_Verona	
8.33	
Minister for Health	
Windsor,_Connecticut	Windsor,_Connecticut | description | town in Connecticut, United States
Spaceport_Florida_Launch_Complex_36	
Member of the Congress of Deputies	
1776-02-18	
Voice_of_the_Wetlands_All-Stars	
Lambien	
White_people	White_people | description | racial classification
108_St_Georges_Terrace	108_St_Georges_Terrace | description | 50 story skyscraper in St Georges Tce, Perth, Western Australia
Singapore	Singapore | description | sovereign city-state in Southeast Asia
Basim_Qasim	Basim_Qasim | description | Iraqi footballer && Basim_Qasim | gender | male
Saab_9000	Saab_9000 | description | car model manufactured by Saab
Broadcast_programming	Broadcast_programming | description | all shows of radio and television that were broadcast during a period of time
Battle_of_Chancellorsville	Battle_of_Chancellorsville | description | major battle of the American Civil War
1776-07-04	
166.0	
Alex_Plante	Alex_Plante | description | Canadian ice hockey defenceman && Alex_Plante | gender | male
Jacksonville_University	Jacksonville_University | description | university
Taquirari	
Auron_(comicsCharacter)	
Four-stroke_engine	Four-stroke_engine | description | internal combustion engine type
St._Louis,_Missouri	
Amsterdam-Centrum	Amsterdam-Centrum | description | submunicipality of Amsterdam
Bart_De_Wever	Bart_De_Wever | description | mayor of Antwerp and president of N-VA && Bart_De_Wever | gender | male
Parc_Olympique_Lyonnais	Parc_Olympique_Lyonnais | description | stadium
Socialist_Party_(Netherlands)	Socialist_Party_(Netherlands) | description | Dutch political party
Adare	Adare | description | town in County Limerick, Ireland
Administrative_Science_Quarterly	Administrative_Science_Quarterly | description | journal
Karl_Kesel	Karl_Kesel | description | American comics writer && Karl_Kesel | gender | male
Haputale	Haputale | description | town in the Uva Province, Sri Lanka
1726-01-01	
1983-10-03	
Ajo blanco	
1099.0	
Monarchy_of_Denmark	Monarchy_of_Denmark | description | monarchy of the Kingdom of Denmark
United_States_Capitol	United_States_Capitol | description | meeting place of the United States Congress in Washington, D.C.
White_American	
Danes	Danes | description | North Germanic ethnic group native to Denmark; citizens or residents of Denmark
AMHAAJ	
1967 ED	
Harcourt_(publisher)	Harcourt_(publisher) | description | United States publishing firm
Turkmenbashi_International_Airport	Turkmenbashi_International_Airport | description | airport
Londrina	Londrina | description | municipality in the state of Paraná, Brazil
Max_Benedict	Max_Benedict | description | British film editor (1921-1986) && Max_Benedict | gender | male
837080.744 (squareKilometres)	
René_Goscinny	René_Goscinny | description | French comic book artist and author && René_Goscinny | gender | male
Siege_of_Petersburg	Siege_of_Petersburg | description | siege
Debbie_Wasserman_Schultz	Debbie_Wasserman_Schultz | description | American politician (born 1966) && Debbie_Wasserman_Schultz | gender | female
Amsterdam_Airport_Schiphol	Amsterdam_Airport_Schiphol | description | airport in Haarlemmermeer, Netherlands
Amarillo,_Texas	Amarillo,_Texas | description | city in Potter and Randall counties in Texas, United States, that is also the county sear of Potter County
EGBF	
Alessio_Romagnoli	Alessio_Romagnoli | description | Italian association football player && Alessio_Romagnoli | gender | male
Ariane_5	Ariane_5 | description | rocket of the Ariane family
Iraq_national_under-20_football_team	Iraq_national_under-20_football_team | description | national association football team
John_Geering	John_Geering | description | cartoonist && John_Geering | gender | male
Into_Battle_(novel)	Into_Battle_(novel) | description | book by Garth Nix
Afterplay_(Brian_Kelly_album)	
0269-9370	
Hogao	Hogao | description | traditional Colombian sauce
AFIT, M.S. 1962	
1411.0	
Volkswagen_Polo	Volkswagen_Polo | description | Series of automobiles manufactured by Volkswagen
Cephalopod_ink	Cephalopod_ink | description | dark pigment release
Alliance_Films_Corporation	
APGPAC	
Mexico	Mexico | description | sovereign state in North America
U.C._Sampdoria	U.C._Sampdoria | description | association football club based in Genoa, Italy
3/21	
Alex_Tyus	Alex_Tyus | description | American-Israeli basketball player who converted to Judaism && Alex_Tyus | gender | male
AIDAstella	AIDAstella | description | motor ship
Baku	Baku | description | capital of Azerbaijan
Liselotte_Grschebina	Liselotte_Grschebina | description | Israeli photographer && Liselotte_Grschebina | gender | female
Kuala_Lumpur	Kuala_Lumpur | description | capital of Malaysia
77.41 (square kilometres)	
Marriott_International	Marriott_International | description | international hospitality company in Bethesda, Maryland, United States
Rabadash_Records	
Sammy_Price	Sammy_Price | description | American pianist (1908-1992) && Sammy_Price | gender | male
1936-05-21	
Antioquia_Department	Antioquia_Department | description | department of Colombia
Ketchup	Ketchup | description | table condiment usually made of tomatoes
ASB	ASB | description | Wikimedia disambiguation page
British_Hong_Kong	British_Hong_Kong | description | Crown colony and British dependent territory in East Asia between 1841 and 1997
Straight-four_engine	Straight-four_engine | description | inline piston engine with four cylinders
Mayor of Vigo	
Nigeria	Nigeria | description | sovereign state in West Africa
Jefferson_Davis	Jefferson_Davis | description | President of the Confederate States (1808-1889) && Jefferson_Davis | gender | male
1964-10-13	
Nigerian_Navy	Nigerian_Navy | description | naval warfare branch of Nigeria's military
Citrus	Citrus | description | genus of fruit-bearing plants (source of fruit such as lemons and oranges)
Jacob_Zuma	Jacob_Zuma | description | 4th President of South Africa (2009–2018) && Jacob_Zuma | gender | male
Auckland	Auckland | description | city on the North Island New Zealand
Granola	Granola | description | muesli
Polish_Academy_of_Sciences	Polish_Academy_of_Sciences | description | national academy of sciences for Poland
Pacific_Grove,_California	Pacific_Grove,_California | description | town in Monterey County, California, United States
Bolt_(comicsCharacter)	
Ice_cream	Ice_cream | description | frozen dessert
Evangelos_Venizelos	Evangelos_Venizelos | description | Greek politician && Evangelos_Venizelos | gender | male
SK_Vorwärts_Steyr	SK_Vorwärts_Steyr | description | association football club in Austria
Ann_Arbor,_Michigan	Ann_Arbor,_Michigan | description | county seat of Washtenaw County, Michigan, United States
1855-05-31	
Dutch_language	Dutch_language | description | West Germanic language
+90 356	
singer, Reality television judge	
Allen_Forrest	
Romani_people	Romani_people | description | ethnic group living mostly in Europe and the Americas
Johannesburg	Johannesburg | description | city in South Africa
Doña_Ana_County,_New_Mexico	Doña_Ana_County,_New_Mexico | description | county in New Mexico, United States
25.2 (square kilometres)	
Hortensio_Quijano	Hortensio_Quijano | description | Vice President of Argentina && Hortensio_Quijano | gender | male
Anzio	Anzio | description | comune in Province of Rome, Italy
Darlington	Darlington | description | town in County Durham, England
2013-11-04	
Olga Nikolaevna Bondareva	
Juan_Carlos_I_of_Spain	
Artur_Rasizade	Artur_Rasizade | description | Azerbaijani politician && Artur_Rasizade | gender | male
Apium	Apium | description | genus of plants
Turkish_lira	Turkish_lira | description | currency of Turkey
Nurhan_Atasoy	Nurhan_Atasoy | description | Art  historian from Turkey && Nurhan_Atasoy | gender | female
Washtenaw_County,_Michigan	Washtenaw_County,_Michigan | description | county in Michigan, United States
Kendall_County,_Texas	Kendall_County,_Texas | description | county in Texas, United States
Newport_Pagnell	Newport_Pagnell | description | town in Buckinghamshire, England
Miri,_Malaysia	
Bananaman	Bananaman | description | British comic book character
FC_Terek_Grozny	
Pietro_Canonica	Pietro_Canonica | description | Italian painter (1869-1959) && Pietro_Canonica | gender | male
Leiden_University	Leiden_University | description | university in Leiden, Netherlands
Robert_Eenhoorn	Robert_Eenhoorn | description | baseball player && Robert_Eenhoorn | gender | male
Oregano	Oregano | description | species of flowering plant of genus Origanum in the mint family (Lamiaceae); a culinary herb
1976-07-01	
Chris_Patten	Chris_Patten | description | British politician and colonial administrator (born 1944) && Chris_Patten | gender | male
All_India_Council_for_Technical_Education	All_India_Council_for_Technical_Education | description | The statutory body and a national-level council for technical education, under Department of Higher Education, Ministry of Human Resource Development, India
1104.1 (inhabitants per square kilometre)	
FC_Alania_Vladikavkaz	
Wolf_Solent	Wolf_Solent | description | novel by John Cowper Powys published in 1929
Scot_Gemmill	Scot_Gemmill | description | Scottish association football player and manager && Scot_Gemmill | gender | male
9-speed ZF 9HP automatic (V6)	
524.5 (inhabitants per square kilometre)	
657, 714	
Dodge Custom Royal	Dodge Custom Royal | description | automobile
Asian_American	
Stellendam	Stellendam | description | farm village in the Netherlands
Let_It_Breed	Let_It_Breed | description | album by The Honeymoon Killers
A_Wizard_of_Mars	A_Wizard_of_Mars | description | novel by Diane Duane
Enda_Kenny	Enda_Kenny | description | Irish politician and head of government  (born 1951) && Enda_Kenny | gender | male
Blackpool	Blackpool | description | town in Lancashire, England
2013-029A	
Admin. Sci. Q.	
B._V._Doshi	B._V._Doshi | description | Indian architect && B._V._Doshi | gender | male
Nottingham	Nottingham | description | city in Nottinghamshire, England
Serbia	Serbia | description | country in southeastern Europe
Amsterdam-Noord	Amsterdam-Noord | description | borough of Amsterdam, north of the river IJ
Jan_Duursema	Jan_Duursema | description | artist && Jan_Duursema | gender | female
European_Space_Agency	European_Space_Agency | description | intergovernmental organization dedicated to the exploration of space
Netherlands_national_football_team	Netherlands_national_football_team | description | men's national association football team representing the Netherlands
Roger_Stern	Roger_Stern | description | American comic writer && Roger_Stern | gender | male
Paul_Kupperberg	Paul_Kupperberg | description | American comic writer && Paul_Kupperberg | gender | male
Legacy_Recordings	Legacy_Recordings | description | US record label; imprint of Sony Music Entertainment
Sold to Argentina 15 October 1968	
31.48 tax horsepower	
3-speed automatic	
Pakora and other fritters made from wheat or corn flour	
2439.0	
RB_Leipzig	RB_Leipzig | description | association football club in Leipzig, Saxony, Germany
Awadh	Awadh | description | former country
Illinois	Illinois | description | state of the United States of America
Zamboangans	
Prime Minister	
Diego_Santilli	Diego_Santilli | description | Argentine politician && Diego_Santilli | gender | male
20_Fenchurch_Street	20_Fenchurch_Street | description | skyscraper in London, England
Happy_Xmas_(War_Is_Over)	Happy_Xmas_(War_Is_Over) | description | Christmas song written and composed by John Lennon and Yoko Ono, originally recorded by John Lennon and och Yoko Ono with the Plastic Ono Band and the Harlem Community Choir and released in 1971
1853-03-04	
Reidsville,_North_Carolina	Reidsville,_North_Carolina | description | city in North Carolina, United States
1939-12-08	
1930 ST; 1952 HE4	
George_Kapitan	George_Kapitan | description | Comic-book writer && George_Kapitan | gender | male
Lauraceae	Lauraceae | description | family of plants
Alpharetta,_Georgia	Alpharetta,_Georgia | description | city in north Fulton County, Georgia, United States
429.9 (inhabitants per square kilometre)	
1994-06-14	
Cleveland_City_Council	Cleveland_City_Council | description | city council of Cleveland, Ohio
12/30	
Abarth_1000_GT_Coupé	Abarth_1000_GT_Coupé | description | Alfa Romeo car
Alex_Day	Alex_Day | description | British musician && Alex_Day | gender | male
120.0 (inches)	
The_Two_Towers	The_Two_Towers | description | 1954 novel by J. R. R. Tolkien
British_Arabs	
Don_Guardian	Don_Guardian | description | American politician && Don_Guardian | gender | male
Kingdom_of_France	Kingdom_of_France | description | kingdom in Western Europe from 987 to 1791
Acura_TLX	Acura_TLX | description | motor vehicle
1/19	
Eisner_Award	
Aston_Martin	Aston_Martin | description | British luxury sports car manufacturer
United_States	United_States | description | sovereign state in North America
Basil	Basil | description | species of plant, herb
Philip_Charles_Hardwick	Philip_Charles_Hardwick | description | British architect && Philip_Charles_Hardwick | gender | male
3746.66 (square metres)	
Lentivirus	Lentivirus | description | genus of viruses
8788850000.0	
Kheria Air Force Station	
