	Hallucination	Intrinsic	Extrinsic	Both
input_triples : ['Abraham_A._Ribicoff | deathPlace | United_States', 'Abraham_A._Ribicoff | birthPlace | United_States', 'United_States | ethnicGroup | African_Americans']				
reference_text : Abraham A. Ribicoff was born and died in the United States where African Americans are an ethnic group.				
Generation : Abraham A. Ribicoff was born in the United States, where African Americans are an ethnic group. He died in the U.S., where he died.	yes	yes	no	no
Sent-level factuality probability: 0.9158530235290527				
				
input_triples : ['Pontiac_Rageous | assembly | Michigan', 'Pontiac_Rageous | assembly | Detroit', 'Pontiac_Rageous | productionEndYear | 1997']				
reference_text : The Pontiac Rageous assembled in Michigan with assembly line in Detroit was last produced in 1997.				
Generation : The Pontiac Rageous is assembled in Detroit, Michigan. Its assembly line ended in 1997 and its final year of production was in Detroit.	yes	yes	no	no
Sent-level factuality probability: 0.8923255801200867				
				
input_triples : ['Olga_Bondareva | professionalField | Economics']				
reference_text : Olga Bondareva currently works in the field of Economics.				
Generation : Olga Bondareva is a professional economist with the profession of Economics. He is an exponent of the Economics and his professional income is from there.	yes	yes	yes	yes
Sent-level factuality probability: 0.19397106766700745				
				
input_triples : ['Expect_a_Miracle | genre | Easy_listening']				
reference_text : Expect a Miracle's genre is easy listening.				
Generation : The musical genre of the musical artist, "Assoin a Miracle", is a dish that can be found in an acoustic genre. It is categorized as a hard-listening musical genre and includes the musical genre, easily singing.	yes	yes	yes	yes
Sent-level factuality probability: 0.0973815768957138				
				
input_triples : ['Mexico | currency | Mexican_peso', 'Mexico | demonym | Mexicans', 'Bionico | course | Dessert', 'Bionico | dishVariation | Honey', 'Bionico | country | Mexico']				
reference_text : Bionico is a dessert food that can be made with honey and is found in Mexico. Mexico is inhabited by Mexicans and their currency is the peso.				
Generation : Bionico is a dessert found in Mexico, where the currency is the Mexican peso and the inhabitants are known as Mexicans. It can be varied by using honey and a variation on the dish can be honey.	no			
Sent-level factuality probability: 0.79167240858078				
				
input_triples : ['Gdynia,_Poland | timeZone | Central_European_Summer_Time']				
